# M R
1.354040404040404155e+00 1.190909090909091006e+01
1.391919191919192000e+00 1.263636363636363669e+01
1.366666666666666696e+00 1.207070707070707094e+01
1.429797979797979846e+00 1.255555555555555536e+01
1.417171717171717304e+00 1.215151515151515227e+01
1.455050505050504928e+00 1.231313131313131315e+01
1.631818181818181834e+00 1.376767676767676818e+01
1.518181818181818077e+00 1.295959595959596022e+01
1.467676767676767691e+00 1.271717171717171802e+01
1.530808080808080840e+00 1.312121212121212110e+01
1.530808080808080840e+00 1.304040404040404155e+01
1.429797979797979846e+00 1.223232323232323182e+01
1.543434343434343603e+00 1.279797979797979934e+01
1.455050505050504928e+00 1.231313131313131315e+01
1.619191919191919293e+00 1.441414141414141525e+01
1.354040404040404155e+00 1.190909090909091006e+01
1.505555555555555536e+00 1.295959595959596022e+01
1.455050505050504928e+00 1.295959595959596022e+01
1.379292929292929237e+00 1.247474747474747403e+01
1.265656565656565702e+00 1.150505050505050519e+01
1.366666666666666696e+00 1.166666666666666785e+01
1.442424242424242387e+00 1.198989898989898961e+01
1.518181818181818077e+00 1.295959595959596022e+01
1.492929292929292995e+00 1.247474747474747403e+01
1.593939393939393989e+00 1.392929292929293084e+01
1.341414141414141392e+00 1.190909090909091006e+01
1.467676767676767691e+00 1.223232323232323182e+01
1.694949494949494984e+00 1.417171717171717304e+01
1.278282828282828243e+00 1.207070707070707094e+01
1.429797979797979846e+00 1.215151515151515227e+01
1.341414141414141392e+00 1.215151515151515227e+01
1.328787878787878851e+00 1.207070707070707094e+01
1.391919191919192000e+00 1.263636363636363669e+01
1.530808080808080840e+00 1.328282828282828376e+01
1.467676767676767691e+00 1.215151515151515227e+01
1.593939393939393989e+00 1.384848484848484773e+01
1.543434343434343603e+00 1.304040404040404155e+01
1.391919191919192000e+00 1.247474747474747403e+01
1.492929292929292995e+00 1.271717171717171802e+01
1.379292929292929237e+00 1.174747474747474740e+01
1.429797979797979846e+00 1.190909090909091006e+01
1.543434343434343603e+00 1.255555555555555536e+01
1.505555555555555536e+00 1.320202020202020243e+01
1.480303030303030454e+00 1.247474747474747403e+01
1.253030303030302939e+00 1.223232323232323182e+01
1.606565656565656752e+00 1.401010101010101039e+01
1.404545454545454541e+00 1.320202020202020243e+01
1.492929292929292995e+00 1.247474747474747403e+01
1.593939393939393989e+00 1.328282828282828376e+01
1.530808080808080840e+00 1.312121212121212110e+01
1.442424242424242387e+00 1.255555555555555536e+01
1.530808080808080840e+00 1.352525252525252597e+01
1.417171717171717304e+00 1.255555555555555536e+01
1.606565656565656752e+00 1.409090909090909172e+01
1.366666666666666696e+00 1.215151515151515227e+01
1.442424242424242387e+00 1.271717171717171802e+01
1.530808080808080840e+00 1.295959595959596022e+01
1.253030303030302939e+00 1.126262626262626299e+01
1.417171717171717304e+00 1.287878787878787890e+01
1.505555555555555536e+00 1.320202020202020243e+01
1.429797979797979846e+00 1.231313131313131315e+01
1.492929292929292995e+00 1.344444444444444464e+01
1.404545454545454541e+00 1.207070707070707094e+01
1.366666666666666696e+00 1.223232323232323182e+01
1.581313131313131226e+00 1.328282828282828376e+01
1.429797979797979846e+00 1.295959595959596022e+01
1.492929292929292995e+00 1.384848484848484773e+01
1.707575757575757525e+00 1.457575757575757613e+01
1.442424242424242387e+00 1.287878787878787890e+01
1.593939393939393989e+00 1.360606060606060552e+01
1.556060606060606144e+00 1.287878787878787890e+01
1.480303030303030454e+00 1.263636363636363669e+01
1.518181818181818077e+00 1.279797979797979934e+01
1.429797979797979846e+00 1.182828282828282873e+01
1.404545454545454541e+00 1.287878787878787890e+01
1.379292929292929237e+00 1.215151515151515227e+01
1.391919191919192000e+00 1.271717171717171802e+01
1.455050505050504928e+00 1.271717171717171802e+01
1.871717171717171890e+00 1.481818181818181834e+01
1.568686868686868685e+00 1.320202020202020243e+01
1.556060606060606144e+00 1.287878787878787890e+01
1.429797979797979846e+00 1.239393939393939448e+01
1.303535353535353547e+00 1.182828282828282873e+01
1.682323232323232443e+00 1.215151515151515227e+01
1.631818181818181834e+00 1.352525252525252597e+01
